Vgene	clone_id	Isotype	Sample	Time	Min_num
IGHV3-NL_17	2241834	IgM	data-IgM	79	100
IGHV4-NL_4	674178	IgM	data-IgM	79	100
IGHV4-NL_10	1413305	IgM	data-IgM	79	100
IGHV4-NL_28	1172658	IgM	data-IgM	79	100
IGHV4-NL_10	507534	IgM	data-IgM	79	100
IGHV3-NL_10	1465279	IgM	data-IgM	79	100
IGHV3-177	63834	IgM	data-IgM	79	100
IGHV3-NL_18	526	IgM	data-IgM	79	100
IGHV4-NL_3	1238365	IgM	data-IgM	79	100
IGHV2-69	567615	IgM	data-IgM	79	100
IGHV4-NL_16	2431833	IgM	data-IgM	79	100
IGHV3-88	450928	IgM	data-IgM	79	100
IGHV6-1	1212023	IgM	data-IgM	79	100
IGHV4-NL_10	507279	IgM	data-IgM	79	100
IGHV3-NL_9	363751	IgM	data-IgM	79	100
IGHV4-NL_3	2249881	IgM	data-IgM	79	100
IGHV3-152	724353	IgM	data-IgM	79	100
IGHV4-NL_10	1689333	IgM	data-IgM	79	100
IGHV4-NL_5	1401849	IgM	data-IgM	79	100
IGHV4-NL_3	91123	IgM	data-IgM	79	100
IGHV4-NL_13	2441392	IgM	data-IgM	79	100
IGHV4-NL_3	718003	IgM	data-IgM	79	100
IGHV3-177	154535	IgM	data-IgM	79	100
IGHV4-150	1233546	IgM	data-IgM	79	100
IGHV4-NL_4	1937791	IgM	data-IgM	79	100
IGHV4-NL_28	1224664	IgM	data-IgM	79	100
IGHV3-50	1218233	IgM	data-IgM	79	100
IGHV2-69	963355	IgM	data-IgM	79	100
IGHV1-138	1496764	IgM	data-IgM	79	100
IGHV4-NL_4	1937280	IgM	data-IgM	79	100
IGHV4-NL_3	1152670	IgM	data-IgM	79	100
IGHV4-NL_10	1078715	IgM	data-IgM	79	100
IGHV4-149	896468	IgM	data-IgM	79	100
IGHV4-NL_21	524749	IgM	data-IgM	79	100
IGHV5-15	1063433	IgM	data-IgM	79	100
IGHV4-93	207190	IgM	data-IgM	79	100
IGHV4-NL_16	1688826	IgM	data-IgM	79	100
IGHV4-144	387889	IgM	data-IgM	79	100
IGHV3-36	2264906	IgM	data-IgM	79	100
IGHV4-NL_28	1224405	IgM	data-IgM	79	100
IGHV2-69	566013	IgM	data-IgM	79	100
IGHV3-NL_10	1948163	IgM	data-IgM	80	100
IGHV4-NL_10	1038053	IgM	data-IgM	80	100
IGHV4-NL_29	666359	IgM	data-IgM	80	100
IGHV4-NL_3	2293841	IgM	data-IgM	80	100
IGHV4-93	1043119	IgM	data-IgM	80	100
IGHV4-NL_10	1941991	IgM	data-IgM	80	100
IGHV4-NL_29	2249403	IgM	data-IgM	80	100
IGHV4-NL_4	1937280	IgM	data-IgM	80	100
IGHV3-88	2167169	IgM	data-IgM	80	100
IGHV4-NL_10	1413305	IgM	data-IgM	80	100
IGHV3-NL_17	2241834	IgM	data-IgM	80	100
IGHV4-NL_4	1676003	IgM	data-IgM	80	100
IGHV4-NL_3	1514637	IgM	data-IgM	80	100
IGHV4-NL_25	146699	IgM	data-IgM	80	100
IGHV4-NL_21	1862088	IgM	data-IgM	80	100
IGHV3-NL_10	1465259	IgM	data-IgM	80	100
IGHV4-NL_3	1337259	IgM	data-IgM	80	100
IGHV3-88	451169	IgM	data-IgM	80	100
IGHV3-88	201651	IgM	data-IgM	80	100
IGHV4-NL_10	569327	IgM	data-IgM	80	100
IGHV4-144	1931847	IgM	data-IgM	80	100
IGHV4-144	2420499	IgM	data-IgM	80	100
IGHV3-NL_11	254513	IgM	data-IgM	80	100
IGHV3-88	1756925	IgM	data-IgM	80	100
IGHV4-NL_22	1776895	IgM	data-IgM	80	100
IGHV4-144	1545479	IgM	data-IgM	80	100
IGHV4-NL_29	1616059	IgM	data-IgM	80	100
IGHV4-NL_25	1536695	IgM	data-IgM	80	100
IGHV3-NL_10	1465245	IgM	data-IgM	80	100
IGHV3-53	892295	IgM	data-IgM	80	100
IGHV4-144	1834145	IgM	data-IgM	80	100
IGHV3-NL_19	484624	IgM	data-IgM	80	100
IGHV4-NL_1	329445	IgM	data-IgM	80	100
IGHV4-NL_29	1714560	IgM	data-IgM	80	100
IGHV4-NL_3	1734869	IgM	data-IgM	80	100
IGHV4-149	87409	IgM	data-IgM	80	100
IGHV3-88	134719	IgM	data-IgM	80	100
IGHV2-69	531146	IgM	data-IgM	80	100
IGHV4-144	1246227	IgM	data-IgM	80	100
IGHV4-NL_16	764230	IgM	data-IgM	80	100
IGHV4-NL_4	1169294	IgM	data-IgM	80	100
IGHV4-149	1748153	IgM	data-IgM	80	100
IGHV4-144	445410	IgM	data-IgM	80	100
IGHV4-NL_33	2302292	IgM	data-IgM	80	100
IGHV4-NL_33	992758	IgM	data-IgM	80	100
IGHV3-100	2346741	IgM	data-IgM	80	100
IGHV1-138	70241	IgM	data-IgM	80	100
IGHV4-NL_36	429492	IgM	data-IgM	80	100
IGHV4-149	514316	IgM	data-IgM	80	100
IGHV3-88	449868	IgM	data-IgM	80	100
IGHV4-NL_12	1819682	IgM	data-IgM	80	100
IGHV4-NL_3	1793345	IgM	data-IgM	80	100
IGHV4-144	1546332	IgM	data-IgM	80	100
IGHV3-50	2247123	IgM	data-IgM	80	100
IGHV4-NL_1	2174594	IgM	data-IgM	80	100
IGHV3-52	1288477	IgM	data-IgM	80	100
IGHV4-149	1351142	IgM	data-IgM	80	100
IGHV4-NL_3	1112272	IgM	data-IgM	80	100
IGHV4-NL_29	1614437	IgM	data-IgM	80	100
IGHV4-NL_29	311245	IgM	data-IgM	80	100
IGHV3-9	349575	IgM	data-IgM	80	100
IGHV4-NL_25	1487456	IgM	data-IgM	80	100
IGHV4-NL_10	2226105	IgM	data-IgM	80	100
IGHV4-144	2277998	IgM	data-IgM	80	100
IGHV3-88	74392	IgM	data-IgM	80	100
IGHV4-NL_29	2233711	IgM	data-IgM	80	100
IGHV4-NL_3	920557	IgM	data-IgM	80	100
IGHV4-NL_13	2409909	IgM	data-IgM	80	100
IGHV4-NL_10	1903844	IgM	data-IgM	80	100
IGHV4-NL_4	251422	IgM	data-IgM	80	100
